"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**";"Logo-Back-SolderedFULL-17mm";1;"Logo-Front-SolderedFULL-17mm";;;
2;",,,,,,,,,";"buzzardLabel";10;"";;;
3;"H1,H3,H2,H4";"HOLE_3.2mm";4;"HOLE_3.2mm";;;
4;"K5";"DSHP03TS-S";1;"DSHP03TS-S";;;
5;"C4";"0805C";1;"C1608X7S1A475K080AC";;;
6;"R1,R2";"0603R";2;"10k";;;
7;"G***,G***";"Logo-Front-easyC-5mm";2;"LOGO";;;
8;"K2,K4";"easyC-connector";2;"easyC-SMD";;;
9;"C2,C3";"0805C";2;"CL10A226MPCNUBE";;;
10;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
11;"G***";"Logo-Front-Soldered-5mm";1;"LOGO";;;
12;"U1";"SOIC-14";1;"ATTINY404-SSNR";;;
13;"U2";"tps613222a";1;"TPS613222A";;;
14;"C1";"0603C";1;"0.1uF";;;
15;"L1";"0806L";1;"DFE201612E-2R2M=P2";;;
16;"FD1";"FIDUCIAL_23";1;"FIDUCIAL";;;
17;"K3";"HEADER-UPDI";1;"HEADER-UPDI";;;
18;"REF**";"Version1.1.1.";1;"Version1.1.1.";;;
19;"K1";"HEADER_MALE_4X1";1;"HEADER_MALE_4X1";;;
20;"REF**";"Symbol-Front_I2C_ADDR_CUSTOM";1;"Symbol-Front_I2C_ADDR_CUSTOM";;;
